name,alias_name
九州旅客鉄道,JR九州
沖縄都市モノレール,沖縄都市モノレール
ゆりかもめ,ゆりかもめ
近畿日本鉄道,近畿日本鉄道
神戸新交通,神戸新交通
富山地方鉄道,富山地方鉄道
アイジーアールいわて銀河鉄道,IGRいわて銀河鉄道
いすみ鉄道,いすみ鉄道
えちぜん鉄道,えちぜん鉄道
くま川鉄道,くま川鉄道
しなの鉄道,しなの鉄道
スカイレールサービス,スカイレールサービス
のと鉄道,のと鉄道
わたらせ渓谷鐵道,わたらせ渓谷鐵道
阿佐海岸鉄道,阿佐海岸鉄道
阿武隈急行,阿武隈急行
愛知環状鉄道,愛知環状鉄道
愛知高速交通,愛知高速交通
鞍馬寺,鞍馬寺
伊勢鉄道,伊勢鉄道
伊豆急行,伊豆急行
十国峠,十国峠
伊豆箱根鉄道,伊豆箱根鉄道
伊予鉄道,伊予鉄道
井原鉄道,井原鉄道
一畑電車,一畑電車
叡山電鉄,叡山電鉄
遠州鉄道,遠州鉄道
横浜高速鉄道,横浜高速鉄道
横浜市,横浜市営地下鉄
横浜シーサイドライン,横浜シーサイドライン
岡山電気軌道,岡山電気軌道
会津鉄道,会津鉄道
岳南電車,岳南電車
甘木鉄道,甘木鉄道
関東鉄道,関東鉄道
紀州鉄道,紀州鉄道
京王電鉄,京王電鉄
京阪電気鉄道,京阪電気鉄道
京成電鉄,京成電鉄
京都市,京都市営地下鉄
京浜急行電鉄,京浜急行電鉄
京福電気鉄道,京福電気鉄道
錦川鉄道,錦川鉄道
四日市あすなろう鉄道,四日市あすなろう鉄道
阪神電気鉄道,阪神電気鉄道
近江鉄道,近江鉄道
熊本市,熊本市電
熊本電気鉄道,熊本電気鉄道
御岳登山鉄道,御岳登山鉄道
広島高速交通,広島高速交通
広島電鉄,広島電鉄
弘南鉄道,弘南鉄道
江ノ島電鉄,江ノ島電鉄
高松琴平電気鉄道,高松琴平電気鉄道
高尾登山電鉄,高尾登山電鉄
黒部峡谷鉄道,黒部峡谷鉄道
嵯峨野観光鉄道,嵯峨野観光鉄道
阪急電鉄,阪急電鉄
阪堺電気軌道,阪堺電気軌道
埼玉高速鉄道,埼玉高速鉄道
埼玉新都市交通,埼玉新都市交通
一般社団法人札幌市交通事業振興公社,札幌市交通事業振興公社
札幌市,札幌市営地下鉄
三岐鉄道,三岐鉄道
三陸鉄道,三陸鉄道
山形鉄道,山形鉄道
山万,山万
山陽電気鉄道,山陽電気鉄道
四国ケーブル,四国ケーブル
四国旅客鉄道,JR四国
鹿児島市,鹿児島市電
鹿島臨海鉄道,鹿島臨海鉄道
芝山鉄道,芝山鉄道
若桜鉄道,若桜鉄道
首都圏新都市鉄道,つくばエクスプレス
秋田内陸縦貫鉄道,秋田内陸縦貫鉄道
小田急電鉄,小田急電鉄
小湊鐵道,小湊鐵道
松浦鉄道,松浦鉄道
アルピコ交通,アルピコ交通
湘南モノレール,湘南モノレール
上信電鉄,上信電鉄
上田電鉄,上田電鉄
上毛電気鉄道,上毛電気鉄道
信楽高原鐵道,信楽高原鐵道
新京成電鉄,新京成電鉄
真岡鐵道,真岡鐵道
神戸市,神戸市営地下鉄
こうべ未来都市機構,こうべ未来都市機構
神戸電鉄,神戸電鉄
水間鉄道,水間鉄道
水島臨海鉄道,水島臨海鉄道
西日本鉄道,西日本鉄道
西日本旅客鉄道,JR西日本
えちごトキめき鉄道,えちごトキめき鉄道
あいの風とやま鉄道,あいの風とやま鉄道
IRいしかわ鉄道,IRいしかわ鉄道
西武鉄道,西武鉄道
青い森鉄道,青い森鉄道
静岡鉄道,静岡鉄道
仙台市,仙台市営地下鉄
千葉都市モノレール,千葉都市モノレール
相模鉄道,相模鉄道
流鉄,流鉄
多摩都市モノレール,多摩都市モノレール
大井川鐵道,大井川鐵道
大阪モノレール,大阪モノレール
大阪市高速電気軌道,Osaka Metro
泉北高速鉄道,泉北高速鉄道
大山観光電鉄,大山観光電鉄
樽見鉄道,樽見鉄道
丹後海陸交通,丹後海陸交通
智頭急行,智頭急行
筑波観光鉄道,筑波観光鉄道
筑豊電気鉄道,筑豊電気鉄道
秩父鉄道,秩父鉄道
銚子電気鉄道,銚子電気鉄道
長崎電気軌道,長崎電気軌道
長野電鉄,長野電鉄
長良川鉄道,長良川鉄道
津軽鉄道,津軽鉄道
天竜浜名湖鉄道,天竜浜名湖鉄道
土佐くろしお鉄道,土佐くろしお鉄道
とさでん交通,とさでん交通
島原鉄道,島原鉄道
東海交通事業,東海交通事業
東海旅客鉄道,JR東海
東京モノレール,東京モノレール
東急電鉄,東急電鉄
東京地下鉄,東京地下鉄
東京都,東京メトロ
東京臨海高速鉄道,東京臨海高速鉄道
東日本旅客鉄道,JR東日本
東武鉄道,東武鉄道
東葉高速鉄道,東葉高速鉄道
南阿蘇鉄道,南阿蘇鉄道
南海電気鉄道,南海電気鉄道
能勢電鉄,能勢電鉄
函館市,函館市電
箱根登山鉄道,箱根登山鉄道
皿倉登山鉄道,皿倉登山鉄道
比叡山鉄道,比叡山鉄道
肥薩おれんじ鉄道,肥薩おれんじ鉄道
富士山麓電気鉄道,富士山麓電気鉄道
舞浜リゾートライン,舞浜リゾートライン
福井鉄道,福井鉄道
福岡市,福岡市営地下鉄
福島交通,福島交通
平成筑豊鉄道,平成筑豊鉄道
豊橋鉄道,豊橋鉄道
北越急行,北越急行
道南いさりび鉄道,道南いさりび鉄道
北海道旅客鉄道,JR北海道
WILLER　TRAINS,京都丹後鉄道
北九州高速鉄道,北九州高速鉄道
北条鉄道,北条鉄道
北総鉄道,北総鉄道
北大阪急行電鉄,北大阪急行電鉄
北陸鉄道,北陸鉄道
万葉線,万葉線
名古屋ガイドウェイバス,名古屋ガイドウェイバス
名古屋市,名古屋市営地下鉄
名古屋鉄道,名古屋鉄道
名古屋臨海高速鉄道,名古屋臨海高速鉄道
明知鉄道,明知鉄道
野岩鉄道,野岩鉄道
由利高原鉄道,由利高原鉄道
立山黒部貫光,立山黒部貫光
六甲山観光,六甲山観光
和歌山電鐵,和歌山電鐵
仙台空港鉄道,仙台空港鉄道
ひたちなか海浜鉄道,ひたちなか海浜鉄道
養老鉄道,養老鉄道
ラクテンチ,ラクテンチ
伊賀鉄道,伊賀鉄道
一般財団法人青函トンネル記念館,青函トンネル記念館
宇都宮ライトレール,宇都宮ライトレール
